1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
2, private, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 4, 4
3, private, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 4, 4
4, private, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 4, 4
5, private, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 4, 4
6, private, terralith:alpha_islands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
7, private, terralith:alpha_islands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
8, private, terralith:alpha_islands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
9, private, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 2, 2
10, private, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 2, 2
11, private, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 2, 2
12, private, terralith:alpha_islands, CREATURE, minecraft:cow, 8, 2, 2
13, private, terralith:alpha_islands, CREATURE, minecraft:wolf, 8, 2, 2
14, private, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
15, private, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
16, private, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 4, 4
17, private, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 4, 4
18, private, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 4, 4
19, private, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 4, 4
20, private, terralith:alpha_islands_winter, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
21, private, terralith:alpha_islands_winter, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
22, private, terralith:alpha_islands_winter, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
23, private, terralith:alpha_islands_winter, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
24, private, terralith:alpha_islands_winter, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
