1, repurposed_structures:bastion_underground, HEADING, header:ignore, 0, 0, 0
2, repurposed_structures:bastion_underground, MONSTER, minecraft:skeleton, 10, 1, 4
3, mvs:ruins/tree_monument, HEADING, header:ignore, 0, 0, 0
4, mvs:other_decoration/bench, HEADING, header:ignore, 0, 0, 0
5, mvs:beach_bar, HEADING, header:ignore, 0, 0, 0
6, repurposed_structures:mineshaft_crimson, HEADING, header:ignore, 0, 0, 0
7, mes:enderwatch_tower, HEADING, header:ignore, 0, 0, 0
8, repurposed_structures:village_giant_taiga, HEADING, header:ignore, 0, 0, 0
9, mvs:nature/birch_tree, HEADING, header:ignore, 0, 0, 0
10, mvs:houses/azelea_house, HEADING, header:ignore, 0, 0, 0
11, mvs:lantern/small_campfire_lantern, HEADING, header:ignore, 0, 0, 0
12, repurposed_structures:village_ocean, HEADING, header:ignore, 0, 0, 0
13, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
14, mvs:other_decoration/snowy_dog_hut, HEADING, header:ignore, 0, 0, 0
15, mvs:other_decoration/wheat_grain_bin, HEADING, header:ignore, 0, 0, 0
16, terralith:mage_complex, HEADING, header:ignore, 0, 0, 0
17, repurposed_structures:ruined_portal_end, HEADING, header:ignore, 0, 0, 0
18, repurposed_structures:pyramid_badlands, HEADING, header:ignore, 0, 0, 0
19, mvs:stall/blue_stall, HEADING, header:ignore, 0, 0, 0
20, mvs:ruins/statue_ruins, HEADING, header:ignore, 0, 0, 0
21, mvs:well/small_tower_well, HEADING, header:ignore, 0, 0, 0
22, mes:monolith, HEADING, header:ignore, 0, 0, 0
23, subterrestrial:default_cabin, HEADING, header:ignore, 0, 0, 0
24, mes:astral_hideaway, HEADING, header:ignore, 0, 0, 0
25, repurposed_structures:outpost_icy, HEADING, header:ignore, 0, 0, 0
26, repurposed_structures:outpost_icy, MONSTER, minecraft:pillager, 10, 1, 1
27, repurposed_structures:igloo_stone, HEADING, header:ignore, 0, 0, 0
28, repurposed_structures:ruins_land_icy, HEADING, header:ignore, 0, 0, 0
29, mvs:other_decoration/end_scraps/end_scraps_3, HEADING, header:ignore, 0, 0, 0
30, mvs:other_decoration/mushroom_statue, HEADING, header:ignore, 0, 0, 0
31, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
32, mvs:log_pile/acacia_log_pile, HEADING, header:ignore, 0, 0, 0
33, mvs:dead_tree/cherry, HEADING, header:ignore, 0, 0, 0
34, mes:enderpin_spikes, HEADING, header:ignore, 0, 0, 0
35, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
36, mvs:houses/house, HEADING, header:ignore, 0, 0, 0
37, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
38, mvs:ruins/castle_ruins, HEADING, header:ignore, 0, 0, 0
39, repurposed_structures:mineshaft_stone, HEADING, header:ignore, 0, 0, 0
40, mvs:horse_pen, HEADING, header:ignore, 0, 0, 0
41, mvs:other_decoration/stone_bee, HEADING, header:ignore, 0, 0, 0
42, repurposed_structures:witch_hut_taiga, HEADING, header:ignore, 0, 0, 0
43, repurposed_structures:witch_hut_taiga, MONSTER, minecraft:witch, 5, 1, 1
44, repurposed_structures:witch_hut_taiga, CREATURE, minecraft:cat, 5, 1, 1
45, subterrestrial:ocean_cabin, HEADING, header:ignore, 0, 0, 0
46, repurposed_structures:temple_ocean, HEADING, header:ignore, 0, 0, 0
47, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
48, repurposed_structures:outpost_end, HEADING, header:ignore, 0, 0, 0
49, repurposed_structures:outpost_end, MONSTER, minecraft:phantom, 10, 1, 1
50, mvs:nature/big_oak_tree, HEADING, header:ignore, 0, 0, 0
51, explorify:desert_shrine, HEADING, header:ignore, 0, 0, 0
52, repurposed_structures:pyramid_snowy, HEADING, header:ignore, 0, 0, 0
53, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
54, repurposed_structures:city_overworld, HEADING, header:ignore, 0, 0, 0
55, repurposed_structures:outpost_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
56, repurposed_structures:outpost_giant_tree_taiga, MONSTER, minecraft:pillager, 10, 1, 1
57, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
58, repurposed_structures:village_badlands, HEADING, header:ignore, 0, 0, 0
59, repurposed_structures:village_warped, HEADING, header:ignore, 0, 0, 0
60, mvs:well/small_copper_well, HEADING, header:ignore, 0, 0, 0
61, terralith:mage_tower, HEADING, header:ignore, 0, 0, 0
